gdp,gdp_sa_p
49017.5,0.678619182
50168.6,2.348344979
51209.1,2.07400645
52820.6,3.146901625
55160.8,4.430468416
56864,3.087699961
58975.7,3.713597355
59397.9,0.715888069
62000.3,4.381299676
63554.3,2.506439485
64420.7,1.363243714
64733.8,0.486023902
66553.4,2.810896317
68156.6,2.408892709
68932,1.137674121
71033.5,3.048656647
72401.2,1.925429551
75222.8,3.897172975
78470.3,4.317175112
79694.3,1.559825819
82253.7,3.211522029
86327.9,4.953211831
87170.2,0.975698471
88944.4,2.035328587
95796,7.703239327
93726.1,-2.1607374
96674.4,3.145655266
99820.8,3.254636181
99864,0.043277553
101322.6,1.460586398
103920.9,2.564383464
108212.6,4.129775627
109314.8,1.01855052
111753.2,2.23062202
115366.1,3.232927558
117711.8,2.033266271
122126.2,3.750176278
124155.3,1.661478045
126818.8,2.145297059
129993.8,2.503572026
132308.2,1.780392603
133236.6,0.701694982
133326.7,0.067624061
135407.5,1.560677644
138103,1.990657829
141645.8,2.565331673
144257.3,1.843683328
147017.9,1.913663988
151306.2,2.916855703
153774.9,1.631592096
156361.7,1.682199111
162507.4,3.930438208
165904.6,2.090489418
169258.9,2.021824591
172772.5,2.075873115
176004.3,1.870552316
179362.7,1.908135199
182986.1,2.020152462
186204.7,1.758931416
189354.5,1.691579214
190240.8,0.46806387
196995.4,3.550552773
198555.1,0.791744376
197649.7,-0.455994331
184173.9,-6.818021985
182685.9,-0.807932069
185877.7,1.747151805
190517.3,2.496049822
196298.8,3.03463255
204902.9,4.383164849
210601.6,2.781170984
216680.1,2.886255375
220786.3,1.895051738
223728.3,1.332510215
229891.1,2.754591172
229145.2,-0.324457972
231953.5,1.225554801
234966.3,1.298881026
238138.8,1.350193624
242336.2,1.762585517
248502.4,2.544481592
253005.6,1.812135416
258120.9,2.021812956
260953.4,1.097353992
259233.3,-0.659159835
258833.7,-0.154146863
263836.1,1.932669509
270800,2.639479586
274198,1.254800591
276291.5,0.763499369
277412.1,0.405586129
279514.7,0.757933774
281893.1,0.850903369
287212.6,1.887062862
291536.1,1.505330894
294487.8,1.012464666
299314.8,1.639117138
301501.6,0.730602028
306367.7,1.613954951
308755.4,0.779357615
313924.1,1.674043596
319355.9,1.730290857
323104.6,1.173831453
330073.8,2.156948555
331402,0.402394858
333136.8,0.523473003
335854.8,0.815881043
324825.7,-3.283889347
325118,0.089986722
329451.1,1.332777638
339310.5,2.992674785
341844.7,0.746867545
348541.7,1.959076739
355163.3,1.899801372
359266.2,1.15521508
363646.8,1.219318711
367040.1,0.933130719
368841.5,0.490791061
370782.8,0.526323638
372534,0.472298068
375799.3,0.8765106
377917.1,0.563545488
379552.7,0.43279333
381467.5,0.504488573
384831,0.88172649
389358.3,1.176438489
392697.2,0.857539187
395787.2,0.786865809
399560.7,0.953416381
402957.7,0.850183714
404195.7,0.307228277
406003.3,0.447209112
409483.1,0.85708663
411150.7,0.407245134
417190.5,1.46899908
420196,0.720414295
421397.6,0.285961789
426146,1.126821795
428036,0.443509971
431300.7,0.76271622
434823.2,0.816715577
437831.1,0.691752418
444245.2,1.46497131
443912.1,-0.074981114
448645.4,1.066269651
451406.9,0.615519517
454011.9,0.577084666
457941.1,0.865439871
456385.5,-0.339694341
461013.9,1.014142649
462744.8,0.375455057
468814.3,1.311630082
462805.5,-1.281701518
